fact_id,date,location_id,aqi_value,aqi_category,pm25,pm10,no2,so2,co,o3,temperature_c,humidity_pct,wind_speed_kmph,ed_visits_respiratory,hospital_admissions_respiratory,outpatient_visits_respiratory,mortality_count_respiratory,prescriptions_issued,exceedance_flag,,
579,01/08/2024,1,88.7,moderate,58.1,105.5,17.6,7.5,2.19,54.6,30.5,,10.7,104,31,239,2,378,0,,
1383,14/10/2023,2,117.2,Unhealthy for Sensitive Groups,78.4,136,17.7,6.7,2.02,48,25.3,52.5,11.2,87,27,202,2,320,0,,
2020,12/07/2025,2,50.7,Moderate,35.3,62,15.9,6.6,0.82,38.2,39.3,85.1,15,48,14,113,1,175,0,,
1699,25/08/2024,2,72.2,Moderate,48.2,86.8,12.4,3.9,1.25,43.3,31.1,79.4,10,54,16,130,1,199,0,,
246,03/09/2023,1,103.5,Unhealthy for Sensitive Groups,65.9,121.9,22.5,7.1,2.54,34.2,29.4,63.8,13.4,119,37,271,,434,0,,
3558,27/09/2023,4,88,Moderate,57.8,88.3,18.2,7.3,1.6,70.4,26.6,58.7,13.6,32,10,76,1,128,0,,
1475,14/01/2024,2,173.2,Unhealthy,105.8,164.9,39.8,16,3.16,63.9,22.1,22.4,12.8,136,42,302,3,490,1,,
1559,07/04/2024,2,165,Unhealthy,108.7,173.5,44.4,13.1,3.72,54.2,22.8,56.7,1.1,105,31,241,2,379,1,,
1348,09/09/2023,2,95.1,Moderate,54.4,85.3,13.9,3.2,1.76,48.1,29.3,65.2,12.6,62,19,139,1,221,0,,
761,30/01/2025,1,369.7,Hazardous,223.9,385.5,64.6,36,6.3,69.7,17.5,31.4,15.9,352,109,790,7,1258,1,,
4059,09/02/2025,4,163.7,Unhealthy,99.8,169.1,32.2,14.1,3.97,32.5,20.3,41.6,9.1,66,20,149,1,235,1,,
3362,15/03/2023,4,122.5,Unhealthy for Sensitive Groups,80.6,123.6,21.9,7.4,2.61,35.3,19.8,30.9,0.5,53,17,125,1,199,0,,
1721,16/09/2024,2,107.8,Unhealthy for Sensitive Groups,60.4,108.8,18.4,7.3,1.36,42.6,31,65.1,15.6,71,22,165,1,260,0,,
585,07/08/2024,1,119.4,Unhealthy for Sensitive Groups,66.5,108.7,32.3,8.8,1.17,28.4,30.7,72.9,14.5,108,33,250,2,402,0,,
910,28/06/2025,1,86.3,Moderate,56.6,102.8,15.9,5.8,1.85,45.7,35.7,74.3,11.5,123,38,284,2,448,0,,
3869,03/08/2024,4,67.9,Moderate,36.6,56.9,13.2,0.9,0.78,51.4,36,71.8,5.9,23,7,60,0,92,0,,
965,22/08/2025,1,108.6,Unhealthy for Sensitive Groups,73.9,112,27.6,11.9,2.47,52.7,29.6,69.8,13.1,139,42,310,3,498,0,,
2137,06/11/2025,2,132.5,Unhealthy for Sensitive Groups,81.7,143.3,28.7,15.6,3.36,76.2,27.6,39.4,2.8,102,31,229,2,371,0,,
3544,13/09/2023,4,67.2,Moderate,46.3,71.9,18.3,7.7,1.27,43.9,27.8,63.3,16.8,30,10,71,1,113,0,,
4151,12/05/2025,4,90.8,Moderate,59.2,112,22.9,4.7,1.53,46.9,36.1,78.6,6.1,39,12,81,1,136,0,,
3345,26/02/2023,4,166,UNHEALTHY ,104.3,160,36.9,14.5,3.54,66.1,22.9,43.4,9.7,53,16,122,1,190,1,,
3038,25/04/2025,3,65.6, Moderate,46.4,69.9,20.2,8,1.39,62.8,27.5,68.1,13.4,37,11,83,1,132,0,,
3003,21/03/2025,3,87.9,Moderate,50.9,91.8,21.5,9.7,1.35,43.1,24.1,48.3,9.6,48,15,116,1,172,0,,
2425,21/08/2023,3,41.7,Good,23.4,38.5,3.1,3,0.92,56.3,32.2,66,9.9,26,7,61,,100,0,,
3809,04/06/2024,4,63.4,Moderate,37.1,60.5,13.6,3.9,0.93,49.6,32.9,75.3,13,28,9,68,0,103,0,,
4035,16/01/2025,4,154.7,Unhealthy,92.5,149.4,33.4,10,1.91,34.9,19,25.7,11.6,56,16,120,1,198,1,,
570,23/07/2024,1,92.1,Moderate,58.5,110.7,18.6,6.5,1.57,60.1,33.2,76,10.1,113,34,257,2,409,0,,
1063,28/11/2025,1,290.4,Very Unhealthy,177.5,308.7,49.8,23.2,5.05,77.3,17,,8.5,313,96,697,6,1124,1,,
3963,05/11/2024,4,113.3,Unhealthy For Sensitive Groups ,73.7,130.2,23.2,7.9,1.31,43.1,19.5,37.1,4.5,45,14,104,1,160,0,,
1013,09/10/2025,1,206.1,Very Unhealthy,119.6,194.1,50.3,10.6,3.97,67.1,27.8,48.8,8.7,216,67,491,4,782,1,,
2104,04/10/2025,2,118.3,Unhealthy for Sensitive Groups,67.8,117.3,14.8,6.4,2.48,37.3,25.9,59.4,5.7,87,26,196,2,313,0,,
3615,23/11/2023,4,154.9,Unhealthy,90.8,157.9,34.8,10.6,3.69,54.4,20.3,41.2,13.3,47,14,106,1,173,1,,
4266,04/09/2025,4,77.4,Moderate,45.9,70.3,15.5,2.8,1.2,40,31.2,65.6,5.5,27,7,61,0,103,0,,
1722,17/09/2024,2,65.2, Moderate,44.1,71.5,9.8,5.7,1.73,52.6,28.7,66.8,,70,21,159,1,253,0,,
2960,06/02/2025,3,74.9,Moderate,55,88.7,25.3,7.6,1.11,44.7,15.6,37.1,12.6,58,16,126,1,200,0,,
4046,27/01/2025,4,142.6,Unhealthy for Sensitive Groups,95.2,175.7,21,12,3.23,52.8,18.6,30.3,9.9,60,18,135,1,222,0,,
306,02/11/2023,1,188.8,Unhealthy,125.8,214.6,35,14.6,4.68,63.7,20.6,34.2,15.5,249,76,563,,900,1,,
493,07/05/2024,1,158.7,Unhealthy,97,160.8,32.8,9.8,2.15,50.1,30.2,61.2,8.3,191,59,439,4,696,1,,
801,11/03/2025,1,249.4,Very Unhealthy,158.1,286.3,56.9,17.7,4.65,72.1,24.1,55.7,13.6,316,98,714,6,1138,1,,
2702,24/05/2024,3,29.7,Good,30.6,47.8,7.8,5.6,0.83,32.9,31.3,78.5,6.4,27,9,69,0,105,0,,
3199,03/10/2025,3,53.8,Moderate,36.3,64.9,13.6,2.3,1.2,41.8,20.7,56,7.8,35,10,80,1,125,0,,
1230,14/05/2023,2,99.9,Moderate,67.8,128.5,23.6,8.8,2.21,60.9,34.1,65.4,13.8,79,24,181,2,291,0,,
2143,12/11/2025,2,159.3,Unhealthy,91.4,169,19.7,14.3,2.51,44.5,25.2,48.1,11,105,31,236,2,369,1,,
2509,13/11/2023,3,109.7,Unhealthy for Sensitive Groups,65.1,110.6,22.3,6.9,1.12,36.8,15.5,,8.5,47,14,105,1,169,0,,
2609,21/02/2024,3,108.6,Unhealthy For Sensitive Groups ,66.8,115.8,29.5,10.6,1.93,36,21,40.8,12.5,58,17,128,1,207,0,,
1141,14/02/2023,2,186.1,Unhealthy,114.1,196,45.2,11.3,4.14,46.2,22.8,40.6,9.3,132,41,298,3,476,1,,
3618,26/11/2023,4,153.5,Unhealthy,100.8,157.9,38.2,13.7,2.94,54.4,20.8,34.6,8.8,52,17,120,,188,1,,
3506,06/08/2023,4,41.1,Good,30.7,54,8.2,5.3,0.75,45,30,76.5,11.5,24,7,59,1,97,0,,
890,08/06/2025,1,94.9,Moderate,62.3,96.1,28.1,11.7,1.67,54.5,34.4,80.6,11.8,159,49,359,3,579,0,,
4100,22/03/2025,4,126.2,Unhealthy for Sensitive Groups,82.5,132.8,35.8,5,2.3,56.1,24,45,11.5,47,15,106,1,171,0,,
3855,20/07/2024,4,49.5,Good,25.2,42,12.8,2.4,0.86,55,35.8,86,11.5,19,7,50,0,84,0,,
2651,03/04/2024,3,92.2,Moderate,53.1,99.8,21.3,2.4,1.09,59.1,24.5,51.2,12.8,51,15,115,1,183,0,,
668,29/10/2024,1,229.5,Very Unhealthy,152,265.9,34,17,5.58,49.6,19.2,48.7,10.3,237,72,535,,850,1,,
743,12/01/2025,1,290.8,Very Unhealthy,180.3,335.8,59.3,24.4,6.88,63.6,15.3,26,8.9,258,80,583,5,935,1,,
665,26/10/2024,1,220.8,Very Unhealthy,140.3,242.3,59.7,15.9,5.11,50.3,25,58.8,10.6,235,72,521,5,840,1,,
2321,09/05/2023,3,45.1,good,30.4,57.3,4.5,4.1,0.71,57.4,28.6,70.4,17,38,11,87,1,137,0,,
3638,16/12/2023,4,122.1,Unhealthy for Sensitive Groups,78.2,134.2,20.1,12.3,2.75,55,20.4,26,14.2,57,17,126,1,202,0,,
1307,30/07/2023,2,66.2,Moderate,41,69.6,15.6,3.9,1.37,25.4,38.2,74.3,3.5,46,14,106,1,173,0,,
2417,13/08/2023,3,38.8,Good,25,47.3,7.3,5.3,0.77,38,29.3,87.2,9,25,8,59,0,99,0,,
4138,29/04/2025,4,89.6,Moderate,60.3,94,26.7,7.5,1.51,49.5,30.2,55,3.7,36,10,79,1,126,0,,
3547,16/09/2023,4,79.7,Moderate,52.3,83.1,24.1,5.7,1.73,40.5,27.7,66.1,9.9,31,9,68,1,122,0,,
3472,03/07/2023,4,49.2,Good,29.8,55.1,9.4,2.8,1.25,54.7,35.6,83.3,1.2,22,8,56,0,81,0,,
1197,11/04/2023,2,135.7,Unhealthy For Sensitive Groups ,79.8,137,26.4,12.9,1.91,58,31.5,55.4,,93,28,204,2,329,0,,
3237,10/11/2025,3,77,Moderate,50.8,80.4,23.8,7.3,1.61,45.8,17.2,41.1,12,40,13,94,1,148,0,,
3680,27/01/2024,4,207.1,Very Unhealthy,133.3,228.4,57.7,13.5,5.01,56.1,19.6,19.8,13.6,59,18,130,1,202,1,,
1243,27/05/2023,2,73.5,MODERATE,44.3,69.4,13,3.1,0.93,48,37.1,65.6,13.8,76,24,175,1,276,0,,
1494,02/02/2024,2,191.5,Unhealthy,122,220.7,37.3,11,2.91,72,19,23.6,16.1,124,39,286,2,448,1,,
1948,01/05/2025,2,106.8,Unhealthy for Sensitive Groups,67.4,122.3,19.7,5.3,1.8,29.5,31.2,71.9,7.4,85,26,191,2,306,0,,
2297,15/04/2023,3,87.9,Moderate,54.8,83.6,15.4,7.5,1.43,44.9,27.3,55,9.2,44,12,101,1,153,0,,
2994,12/03/2025,3,91.1,Moderate,,97.4,27.2,11.2,2.03,33.9,22.3,39.5,20.4,47,15,111,1,167,0,,
232,20/08/2023,1,109.8,Unhealthy For Sensitive Groups ,61.3,92.9,25.2,6.4,2.01,55.8,28.8,74.6,17.5,115,36,260,2,,0,,
1245,29/05/2023,2,88.8,MODERATE,48.8,88.2,20.7,6.4,1.07,43.9,33.7,80,7.8,65,20,149,1,233,0,,
417,21/02/2024,1,337.3,Hazardous,197.4,320.8,61.8,34.9,6.26,48.9,21.4,33.5,7.6,318,97,710,6,1135,1,,
475,19/04/2024,1,209.5,Very Unhealthy,127.6,240.6,43.9,14.6,4.34,60.3,28.5,62.2,7.2,206,63,464,4,737,1,,
2087,17/09/2025,2,97,Moderate,63.6,111.2,31.1,7.5,1.89,36.6,32.4,67.6,8.2,71,22,162,1,258,0,,
2210,18/01/2023,3,110.6,Unhealthy for Sensitive Groups,75.9,130.4,33.2,10.2,2.6,39.2,20.2,27.1,15.6,61,18,140,1,225,0,,
3566,05/10/2023,4,93.8,Moderate,59.2,104,13.9,3.1,1.77,42.8,22.1,54.9,17.2,37,11,87,1,135,0,,
4117,08/04/2025,4,104.3,Unhealthy for Sensitive Groups,67.1,100.8,18.5,10.8,2.6,33.9,27.4,55.2,5.6,41,13,90,1,145,0,,
2571,14/01/2024,3,124.3,Unhealthy for Sensitive Groups,75.7,121.1,19.5,5.8,2.32,40.3,18.6,25.7,9.4,59,17,136,,207,0,,
1339,31/08/2023,2,59.3,Moderate,43.3,75.8,17.4,5.3,1.18,50.8,31.6,69.2,11.7,60,18,137,1,215,0,,
3864,29/07/2024,4,51.3,MODERATE,32.3,57.8,12.8,3.8,1.05,46.4,36.4,73.1,11.2,26,8,58,1,100,0,,
1292,15/07/2023,2,53.1,Moderate,36.4,58.3,15.4,7.2,0.85,44.7,33.3,80.4,9.4,50,15,120,1,190,0,,
3090,16/06/2025,3,44,Good,25.6,47,8.3,0.3,0.76,37.1,27.4,83.3,12.3,27,8,65,1,102,0,,
2289,07/04/2023,3,72.1,Moderate,52.4,99.2,17.7,4.5,1.39,44.2,27.2,47.5,3,45,14,101,1,167,0,,
1846,19/01/2025,2,218.8,Very Unhealthy,128.6,227.4,52.2,11.2,4.83,59.4,19.2,,7.8,155,48,349,3,559,1,,
532,15/06/2024,1,91.3,Moderate,59.7,94.6,21,10.6,1.99,45.5,32.6,67.9,8.9,131,41,300,3,484,0,,
2190,29/12/2025,2,222.7,Very Unhealthy,127.6,209.5,58.7,16.2,4.3,69.4,18,33.5,11.9,102,31,230,2,367,1,,
2611,23/02/2024,3,100.6,Unhealthy for Sensitive Groups,69.5,129.9,24.3,5.5,2.57,53.3,17.3,39.9,11.7,47,14,106,1,173,0,,
49,18/02/2023,1,290.8,Very Unhealthy,181.3,326.5,67.4,22.3,3.73,57.7,21.9,35,13.5,287,89,647,6,1036,1,,
2352,09/06/2023,3,54.7,Moderate,29.6,55.6,12.6,5.2,1.01,57.7,33.4,66.9,8.4,32,10,70,1,112,0,,
1278,01/07/2023,2,57.7,Moderate,38.1,62.1,7.9,7.3,1.46,47.7,36.6,69.2,8.8,46,13,102,1,163,0,,
3317,29/01/2023,4,176.2,Unhealthy,107,181.5,30.1,16.6,3.31,51.1,18.1,25.9,5,65,19,148,,230,1,,
211,30/07/2023,1,104.2,Unhealthy for Sensitive Groups,60.6,102.6,17.6,5.8,2.29,37.8,33.4,71.3,20.2,100,30,224,2,364,0,,
2440,05/09/2023,3,58.4,Moderate,33.4,50.7,10.3,4,1.36,17.1,25.9,75.7,10,27,8,68,1,,0,,
2992,10/03/2025,3,79,Moderate,51.4,97.3,20.2,9,1.82,43.1,21,46.6,5.4,55,16,123,1,199,0,,
2062,23/08/2025,2,75.3,Moderate,41.5,62.8,15.8,8.5,1.89,59.1,34.5,85.1,8.5,56,16,128,1,209,0,,
2555,29/12/2023,3,97.1,Moderate,64.4,99,25.6,11,1.81,37.1,14.4,37.8,11,58,17,133,1,206,0,,
2793,23/08/2024,3,42,good,26.3,46.1,1.5,3,0.89,31.8,28.3,73.3,8,28,7,69,1,104,0,,
3033,20/04/2025,3,66.6,Moderate,45.9,69.7,11.2,7.1,1.05,49.3,25.4,66.4,14.3,34,9,85,1,132,0,,
2610,22/02/2024,3,94.5,Moderate,69.2,109.6,19.5,9.9,1.64,76.7,15.3,44.7,5.6,55,17,126,1,196,0,,
892,10/06/2025,1,104.8,Unhealthy for Sensitive Groups,69.5,111.1,18.1,11,1.48,57.7,31.5,72.8,12.6,114,33,266,2,413,0,,
2732,23/06/2024,3,30.5,Good,23,41.1,11.2,1.6,1.21,57,29.1,77.4,9,24,7,55,0,95,0,,
4093,15/03/2025,4,154,Unhealthy,92.1,161.4,28.4,13,2.28,24.4,25.7,41.4,2.2,60,18,133,,214,1,,
1138,11/02/2023,2,189, Unhealthy,121.6,220.4,40.6,12.4,2.95,32.9,23.8,31.6,9,137,42,305,3,492,1,,
4381,28/12/2025,4,151.8,Unhealthy,95.4,165.5,25.8,13.7,3.72,39.7,20.9,29,19.7,53,16,123,1,195,1,,
702,02/12/2024,1,271.8,Very Unhealthy,176.5,277.5,68.6,30.1,3.95,74.9,15.8,33.9,13.1,269,83,605,,973,1,,
3515,15/08/2023,4,51.4,Moderate,32.4,54.8,13.2,1.9,0.99,44.3,35.1,78.8,7.7,23,7,56,1,90,0,,
3622,30/11/2023,4,114.9,Unhealthy for Sensitive Groups,79.2,133.7,16.8,9.4,2.65,42.5,20.1,24.1,6.8,41,13,96,1,152,0,,
563,16/07/2024,1,94.6,Moderate,57.1,101.1,25,6.8,1.83,51.8,34.9,86.2,9.9,107,32,243,2,386,0,,
4379,26/12/2025,4,184.4,Unhealthy,118,204.4,35.2,15.4,3.25,46.3,20,25.1,0.5,53,17,117,1,189,1,,
1169,14/03/2023,2,180,Unhealthy,106.8,190.9,46.3,14.2,2.39,33.3,25.1,49.7,12.2,117,36,263,2,421,1,,
2688,10/05/2024,3,63.4,Moderate,39.4,68.2,17,5.9,1.67,20.6,30.4,76.2,10.4,32,10,72,1,122,0,,
4078,28/02/2025,4,139.1,Unhealthy for Sensitive Groups,91.7,144.5,34.3,11.9,3.35,54.3,21.3,40.3,,60,19,132,1,215,0,,
1236,20/05/2023,2,86.1,Moderate,47.3,75.8,11.9,8,1.35,78,31.6,74.4,8.1,82,25,186,1,293,0,,
2249,26/02/2023,3,90.9,Moderate,63,113.7,17.2,4.4,2.44,43.9,19.1,44.5,11.6,54,17,126,1,197,0,,
1724,19/09/2024,2,91.7,Moderate,59.7,108.7,18.5,3.1,2.4,63,28.8,61.3,7.3,75,23,172,1,272,0,,
2107,07/10/2025,2,135.7,Unhealthy for Sensitive Groups,78.1,142.4,21.1,12.6,1.86,51.4,26.9,50.5,3.1,82,25,184,2,294,0,,
3464,25/06/2023,4,35.6,Good,30.7,54.2,10.2,3.5,0.68,51.3,34.4,,4.5,26,8,64,1,95,0,,
195,14/07/2023,1,84.7,Moderate,47.8,78.8,19.4,1.9,1.28,51.1,33.6,80.8,6.4,107,32,248,2,395,0,,
52,21/02/2023,1,275,Very Unhealthy,178.6,280.5,66.5,28,3.89,73.3,19.6,36.3,12.2,298,91,667,6,1074,1,,
2643,26/03/2024,3,95,Moderate,56.8,91.2,22.3,9.8,1.66,24.2,24.5,53.8,8.8,39,13,93,1,145,0,,
3314,26/01/2023,4,177.5,Unhealthy,115.8,191.1,38.8,9.3,3.69,64.3,16.2,21.4,,54,16,126,1,198,1,,
1592,10/05/2024,2,103.6,Unhealthy for Sensitive Groups,67.9,103.1,31.9,12.2,2.41,49.2,36.4,82.8,5.7,71,21,159,1,252,0,,
3702,18/02/2024,4,163.8,Unhealthy,101.7,171.1,26.4,14.2,2.73,65.6,22.1,36,7.7,55,17,123,1,199,1,,
841,20/04/2025,1,247.1,Very Unhealthy,151,270.8,54.7,21.5,4.81,50.4,25,67.2,3.2,250,76,558,5,900,1,,
2979,25/02/2025,3,87.6,Moderate,59.3,92.2,14.4,7.7,1.64,59.3,20.5,34.8,16.3,59,19,134,1,208,0,,
3775,01/05/2024,4,93.5,Moderate,62.4,111.2,27.5,4.8,2.31,35.8,29.3,67.1,6.4,42,13,98,1,154,0,,
2452,17/09/2023,3,60.1,Moderate,39.3,73,13.1,6.9,1.17,35.4,27.8,64.6,7.9,37,12,80,1,126,0,,
3746,02/04/2024,4,118.7,Unhealthy for Sensitive Groups,78.8,147.5,22,9.9,2.09,53.4,26,54.1,8.1,45,14,99,1,163,0,,
3684,31/01/2024,4,139.1,Unhealthy For Sensitive Groups ,92.4,150.7,29.7,15.9,1.89,40.9,19.7,23.5,11.8,63,20,141,1,234,0,,
1681,07/08/2024,2,66.6,Moderate,47.8,71.9,20.3,7.7,1.76,59.9,33.4,78,7.2,57,17,133,1,212,0,,
4145,06/05/2025,4,80.4,Moderate,56.7,100.7,14.9,9.7,2.09,50.9,32.2,61.2,15.5,37,10,77,1,125,0,,
1256,09/06/2023,2,43,Good,41.3,70.7,12.3,5.1,1.46,45,37.6,83.7,8.5,58,18,126,1,215,0,,
1392,23/10/2023,2,166.5,Unhealthy,94,143.1,32,13.8,3.21,41.5,25.2,50.4,4.7,105,33,238,2,384,1,,
2805,04/09/2024,3,36.8,Good,30,45.4,10.5,0.5,1.48,41.7,27.2,68.9,8.8,30,10,72,1,109,0,,
2907,15/12/2024,3,103.8,Unhealthy for Sensitive Groups,71.4,134.7,20,3,2.8,40.3,14.2,29.9,10.8,53,16,119,1,188,0,,
1055,20/11/2025,1,240.6,Very Unhealthy,153.3,280.1,50.1,18.2,3.66,63.1,23.5,,9.6,283,87,636,6,1014,1,,
4214,14/07/2025,4,70.8,Moderate,35.7,53.6,12.4,5.4,1,45.1,34.1,79.4,9.6,26,9,59,1,88,0,,
662,23/10/2024,1,213.6,Very Unhealthy,137.5,244.2,34.8,19.2,4.55,44.2,24.2,54,9.9,250,78,570,5,911,1,,
2329,17/05/2023,3,54.9,Moderate,38.5,63.7,16.3,3.4,0.91,30.9,26,63.2,8,34,10,82,1,126,0,,
3620,28/11/2023,4,165.4,Unhealthy,98.6,181.6,42.2,16.7,3.13,52.9,19.8,34.2,12,53,17,124,1,194,1,,
1399,30/10/2023,2,152.4,Unhealthy,92.4,140.4,31.2,10.2,2.99,57,21.1,48.1,,119,36,265,2,431,1,,
421,25/02/2024,1,287.1,Very Unhealthy,176.8,286.6,64.4,18.7,4.38,64.2,17.6,40.2,5.8,326,101,729,,1179,1,,
2098,28/09/2025,2,117.6,Unhealthy for Sensitive Groups,72.2,131.8,27.6,7.4,2.96,37.4,30.6,66.2,6.9,75,22,170,1,270,0,,
2889,27/11/2024,3,85.3,Moderate,46,72.3,17.7,7.2,1.57,63.6,17.2,38.2,13.9,52,17,124,1,191,0,,
4204,04/07/2025,4,47.7,Good,31.4,50.4,10.8,5.5,0.33,31.5,34.2,77.6,3.2,27,8,59,1,98,0,,
3650,28/12/2023,4,141.9,Unhealthy for Sensitive Groups,98.2,153.4,34.3,18.5,3.88,58.2,19.9,33.9,17.7,58,18,130,1,207,0,,
1709,04/09/2024,2,82.8,Moderate,49,89.8,22.7,10.1,1.63,55.5,27.2,67.7,5.7,64,20,149,1,238,0,,
1663,20/07/2024,2,47.6,Good,33.5,54.7,9.5,4,1.04,54.9,33.4,87.3,10.6,51,15,119,1,190,0,,
3527,27/08/2023,4,63.5,Moderate,34.3,63.6,15.2,5,1.45,31.5,32.1,78.7,17.6,27,9,68,1,109,0,,
450,25/03/2024,1,244,Very Unhealthy,154.2,250.6,61.7,17.5,4.09,67.3,20.9,46.6,7.9,279,85,627,5,1001,1,,
3926,29/09/2024,4,100.1,Unhealthy for Sensitive Groups,63.5,109.2,28.8,8,1.94,29.2,23.2,58.5,9.9,35,10,80,1,118,0,,
4188,18/06/2025,4,90.7,Moderate,43.8,77.3,12.3,4.7,1.46,53.6,32.3,77.4,9.4,26,8,62,0,93,0,,
1436,06/12/2023,2,173.9,Unhealthy,117.8,223.8,46,18.1,4.39,72.3,18.1,37.2,8.7,138,43,315,3,,1,,
76,17/03/2023,1,257.6,Very Unhealthy,159.2,269.8,55.8,27.9,3.25,72.1,23.4,46.9,10.5,233,72,526,5,838,1,,
1620,07/06/2024,2,88.6,Moderate,55.4,91,22.9,3.8,2.05,38.4,37,73,11.7,55,17,129,1,205,0,,
2322,10/05/2023,3,63.7,Moderate,45.7,75.2,14.9,5.1,2,24.7,28.7,57.3,4.9,35,10,79,,128,0,,
2389,16/07/2023,3,21.4,Good,22.8,34.9,6.1,4,0.66,38,31.7,84.2,7.4,29,8,64,0,99,0,,
3559,28/09/2023,4,108.3,Unhealthy for Sensitive Groups,59.3,106.8,15.1,4,2.23,42.9,27.6,63,14.4,35,10,75,1,115,0,,
1176,21/03/2023,2,150.9,Unhealthy,93.3,164.1,28.4,12.2,2.19,57.1,29.9,49.5,12.4,105,31,236,2,378,1,,
3933,06/10/2024,4,90.4,Moderate,62,102.2,21,7.8,2.28,43.6,26,63.8,14.2,36,11,81,1,130,0,,
2722,13/06/2024,3,47.5,Good,25.4,44.5,13.8,2.3,0.84,43.5,30.7,75.5,8.7,30,8,71,1,109,0,,
2968,14/02/2025,3,109.8,Unhealthy for Sensitive Groups,63.9,119.8,22.3,9.5,2.07,52.9,18.7,22.4,10.7,54,16,120,1,193,0,,
652,13/10/2024,1,191.2,Unhealthy,123.3,192.6,28.9,20.3,4.82,49,24.4,54.3,7,214,66,480,4,769,1,,
